city,recording_id,n_train,n_test,pca_components,pca_retained_variance,ari,aligned_accuracy,balanced_accuracy,macro_f1_present_reference,reference_profiles_present,predicted_profiles_present,all_reference_profiles_recovered,smallest_predicted_profile_count,smallest_predicted_profile_percentage,semantic_mae_mean,semantic_profile_correlation_mean
Changchun,changchun_pudong_507_009,18782,1166,5,0.9092896976475432,0.608220368450737,0.8361921097770154,0.7591432920200043,0.7192062850811956,4,4,True,17,1.4579759862778732,0.2786955448786568,0.7400488266726536
Changchun,changchun_pudong_507_010,18741,1207,5,0.917671666441137,0.940052475873882,0.975973487986744,0.9762714955474304,0.9781094834450768,4,4,True,1,0.0828500414250207,0.3705926781207302,0.8203278360027998
Changchun,changchun_pudong_507_011,18866,1082,5,0.9171595387097256,0.9769988912589544,0.9916820702402958,0.989694058711692,0.9906759481227566,3,3,True,250,23.10536044362292,0.1424471109509583,0.7568957620096234
Changchun,changchun_pudong_523_005,18864,1084,5,0.917173113364986,0.9537496821782342,0.981549815498155,0.9829278006318948,0.9838346742518708,4,4,True,2,0.1845018450184501,0.2747652987367753,0.8618185808168779
Changchun,changchun_pudong_523_006,19036,912,5,0.9172782423106978,0.963633064820754,0.9857456140350878,0.9872262220538084,0.9872763358925564,4,4,True,2,0.219298245614035,0.3534779344813032,0.8889786248043392
Changchun,changchun_pudong_523_007,18594,1354,5,0.916908810775547,0.9745663042013316,0.9896602658788776,0.9273788547765636,0.9552892998017498,4,4,True,3,0.2215657311669128,0.3208555688493425,0.8657234209762628
Changchun,changchun_pudong_523_008,18694,1254,5,0.9203019526604368,0.9670903765619796,0.988835725677831,0.9778733978653972,0.9852523361228056,4,4,True,19,1.5151515151515151,0.1987258615830063,0.9012975380558632
Changchun,changchun_pudong_xx,19342,606,5,0.91643237820678,0.9817406168516594,0.9933993399339934,0.9915672317314024,0.9933519202876672,4,4,True,79,13.036303630363037,0.2289539312577046,0.8809965806256776
Chongqing,6_22_NR_1,19830,118,5,0.9171099400213852,0.9838929896749934,0.9915254237288136,0.99,0.9905119942713928,4,4,True,3,2.5423728813559325,0.2499583377315557,0.8205814001185519
Chongqing,6_22_NR_2,19789,159,5,0.9170465579253289,0.988482342959738,0.9937106918238994,0.9950248756218903,0.971852708694814,3,3,True,7,4.40251572327044,0.1527502042943899,0.8372277669029229
Chongqing,6_22_NR_3,19678,270,5,0.917172531968124,0.9778516834644868,0.9888888888888888,0.9668458781362008,0.9559514170040484,3,3,True,13,4.814814814814815,0.1510337371503416,0.8696314477874468
Chongqing,6_22_NR_4,19661,287,5,0.9173964165898022,1.0,1.0,1.0,1.0,4,4,True,7,2.4390243902439024,0.2853904548733907,0.7505801659776052
Chongqing,6_24_NR_1,19787,161,5,0.9171870057114756,1.0,1.0,1.0,1.0,4,4,True,11,6.832298136645963,0.2696789978146323,0.7845469767122331
Chongqing,6_24_NR_2,19780,168,5,0.9170156073249984,1.0,1.0,1.0,1.0,4,4,True,1,0.5952380952380952,0.2483152074834596,0.8798991977961539
